Order_ID,Order_Date,Region,Product_Category,Ship_Mode,Unit_Price,Quantity,Shipping_Cost,Delivery_Status,Total_Sales,Profit_Margin,Total_Profit,Estimated_Lead_Time,Actual_Delay_Days
ORD-100000,2025-04-13,Latin America,Automotive,Ocean Freight,437.78,14,72.6,Delivered,6128.92,0.2314,1418.23,7,0
ORD-100001,2025-12-15,Europe,Healthcare,Land Transport,1948.44,10,248.45,Delivered,19484.4,0.1965,3828.68,14,0
ORD-100002,2025-09-28,Europe,Fashion,Land Transport,869.48,12,44.87,Delivered,10433.76,0.1987,2073.19,12,0
ORD-100003,2025-04-17,Middle East,Home Decor,Land Transport,432.38,9,316.1,Delivered,3891.42,0.2301,895.42,13,0
ORD-100004,2025-03-13,Middle East,Home Decor,Air Priority,314.34,3,238.87,Delivered,943.02,0.1707,160.97,11,0
ORD-100005,2025-07-08,Latin America,Fashion,Land Transport,136.52,2,381.23,Delivered,273.04,0.057,15.56,9,0
ORD-100006,2025-01-21,North America,Automotive,Land Transport,723.8,2,26.79,Delivered,1447.6,0.2113,305.88,7,0
ORD-100007,2025-04-13,Asia-Pacific,Fashion,Ocean Freight,55.83,9,400.07,Delivered,502.47,0.0878,44.12,7,0
ORD-100008,2025-05-02,Asia-Pacific,Electronics,Land Transport,614.92,13,235.81,Delivered,7993.96,0.1608,1285.43,11,0
ORD-100009,2025-08-03,Europe,Fashion,Air Priority,1239.9,11,390.29,Delivered,13638.9,0.2089,2849.17,9,0
ORD-100010,2025-11-27,Europe,Electronics,Land Transport,169.09,13,409.11,In Transit,2198.17,0.0754,165.74,9,0
ORD-100011,2025-03-29,Latin America,Home Decor,Air Priority,420.26,8,254.45,Delivered,3362.08,0.0719,241.73,9,0
ORD-100012,2025-04-10,Asia-Pacific,Home Decor,Ocean Freight,1776.25,2,104.98,Delivered,3552.5,0.1139,404.63,5,0
ORD-100013,2025-12-26,Europe,Home Decor,Ocean Freight,568.5,13,457.96,In Transit,7390.5,0.2169,1603.0,3,0
ORD-100014,2025-06-01,Europe,Automotive,Land Transport,1027.08,8,284.01,Delivered,8216.64,0.1387,1139.65,7,0
ORD-100015,2025-05-11,Middle East,Electronics,Air Priority,209.23,10,111.52,Delivered,2092.3,0.2081,435.41,13,0
ORD-100016,2025-05-30,North America,Electronics,Land Transport,1238.85,12,258.61,Delivered,14866.2,0.0975,1449.45,14,0
ORD-100017,2025-11-05,Latin America,Electronics,Air Priority,1011.63,9,363.57,Delivered,9104.67,0.2027,1845.52,7,0
ORD-100018,2025-09-15,North America,Fashion,Land Transport,1274.08,14,98.56,Delivered,17837.12,0.1205,2149.37,6,0
ORD-100019,2025-12-10,North America,Automotive,Ocean Freight,705.93,3,287.52,Delivered,2117.79,0.1421,300.94,12,0
ORD-100020,2025-10-21,Latin America,Home Decor,Ocean Freight,689.12,9,366.86,In Transit,6202.08,0.2217,1375.0,14,0
ORD-100021,2025-07-11,Asia-Pacific,Fashion,Air Priority,1367.4,12,147.25,Delivered,16408.8,0.2497,4097.28,14,0
ORD-100022,2025-10-04,Europe,Automotive,Air Priority,795.31,14,83.04,Delivered,11134.34,0.1882,2095.48,4,0
ORD-100023,2025-06-10,Latin America,Home Decor,Land Transport,1654.94,2,183.01,Delivered,3309.88,0.247,817.54,8,0
ORD-100024,2025-11-10,Europe,Electronics,Land Transport,1270.01,5,397.77,Delivered,6350.05,0.1411,895.99,11,0
ORD-100025,2025-01-22,Middle East,Electronics,Land Transport,1180.2,6,466.78,Delivered,7081.2,0.2336,1654.17,11,0
ORD-100026,2025-09-10,North America,Electronics,Air Priority,576.73,9,297.17,Delayed,5190.57,0.1347,699.17,9,9
ORD-100027,2025-08-24,Middle East,Healthcare,Air Priority,577.93,10,138.16,In Transit,5779.3,0.1556,899.26,10,0
ORD-100028,2025-12-11,North America,Electronics,Ocean Freight,1320.05,3,157.68,Delivered,3960.15,0.0829,328.3,6,0
ORD-100029,2025-02-18,Asia-Pacific,Home Decor,Ocean Freight,997.92,7,119.01,In Transit,6985.44,0.1571,1097.41,4,0
ORD-100030,2025-02-28,Latin America,Fashion,Land Transport,1169.61,6,15.71,Delivered,7017.66,0.2089,1465.99,7,0
ORD-100031,2025-06-19,Asia-Pacific,Fashion,Land Transport,1377.11,10,138.6,Delivered,13771.1,0.2247,3094.37,12,0
ORD-100032,2025-07-07,North America,Healthcare,Land Transport,912.11,12,281.41,Cancelled,10945.32,0.1594,1744.68,6,0
ORD-100033,2025-09-28,Middle East,Healthcare,Ocean Freight,647.14,13,488.04,Delivered,8412.82,0.0589,495.52,3,0
ORD-100034,2025-07-09,North America,Home Decor,Land Transport,1169.07,1,402.2,Delivered,1169.07,0.2319,271.11,8,0
ORD-100035,2025-06-24,Asia-Pacific,Automotive,Ocean Freight,1122.08,11,443.52,Delivered,12342.88,0.2445,3017.83,13,0
ORD-100036,2025-02-20,Asia-Pacific,Healthcare,Land Transport,57.46,3,203.59,Delivered,172.38,0.0759,13.08,3,0
ORD-100037,2025-12-30,Middle East,Healthcare,Air Priority,1025.67,12,246.22,Delivered,12308.04,0.1929,2374.22,12,0
ORD-100038,2025-02-24,Middle East,Home Decor,Ocean Freight,1549.91,5,113.52,In Transit,7749.55,0.1728,1339.12,11,0
ORD-100039,2025-09-01,Asia-Pacific,Fashion,Land Transport,1231.53,8,30.15,Delayed,9852.24,0.0608,599.02,12,4
ORD-100040,2025-11-16,North America,Home Decor,Ocean Freight,120.78,8,98.7,Delivered,966.24,0.224,216.44,7,0
ORD-100041,2025-05-11,North America,Electronics,Land Transport,1862.25,7,368.68,In Transit,13035.75,0.1855,2418.13,11,0
ORD-100042,2025-11-03,Latin America,Automotive,Land Transport,1586.29,5,130.11,Delivered,7931.45,0.0918,728.11,8,0
ORD-100043,2025-05-15,Asia-Pacific,Healthcare,Ocean Freight,511.87,11,322.98,Delayed,5630.57,0.1279,720.15,5,2
ORD-100044,2025-01-21,Latin America,Automotive,Land Transport,1072.48,13,187.67,In Transit,13942.24,0.0857,1194.85,8,0
ORD-100045,2025-11-25,Asia-Pacific,Home Decor,Land Transport,273.77,4,443.14,Delivered,1095.08,0.1572,172.15,9,0
ORD-100046,2025-06-16,Latin America,Fashion,Air Priority,719.41,12,349.25,Delivered,8632.92,0.2062,1780.11,12,0
ORD-100047,2025-10-01,Europe,Automotive,Air Priority,131.56,8,279.19,Delayed,1052.48,0.2267,238.6,4,1
ORD-100048,2025-03-30,North America,Healthcare,Ocean Freight,1156.28,1,434.33,In Transit,1156.28,0.1262,145.92,5,0
ORD-100049,2025-11-12,North America,Electronics,Land Transport,207.37,3,59.96,Delayed,622.11,0.1287,80.07,5,9
ORD-100050,2025-01-14,Europe,Automotive,Land Transport,1800.81,9,474.95,Delivered,16207.29,0.0953,1544.55,8,0
ORD-100051,2025-08-30,Middle East,Home Decor,Air Priority,824.01,7,425.15,Delivered,5768.07,0.1456,839.83,3,0
ORD-100052,2025-09-22,Europe,Home Decor,Land Transport,1731.7,12,372.57,Delivered,20780.4,0.2154,4476.1,9,0
ORD-100053,2025-12-12,North America,Automotive,Land Transport,1004.67,4,177.08,Delivered,4018.68,0.0678,272.47,8,0
ORD-100054,2025-02-22,Asia-Pacific,Home Decor,Ocean Freight,389.33,14,469.43,Delivered,5450.62,0.1066,581.04,13,0
ORD-100055,2025-12-06,Latin America,Automotive,Air Priority,558.95,2,51.85,Delivered,1117.9,0.1797,200.89,4,0
ORD-100056,2025-04-02,North America,Automotive,Air Priority,1129.72,1,80.38,In Transit,1129.72,0.1011,114.21,10,0
ORD-100057,2025-09-21,Europe,Fashion,Ocean Freight,270.46,4,212.29,Delivered,1081.84,0.241,260.72,10,0
ORD-100058,2025-02-04,Asia-Pacific,Home Decor,Land Transport,400.0,11,35.08,Delivered,4400.0,0.1487,654.28,3,0
ORD-100059,2025-07-25,North America,Fashion,Ocean Freight,1848.13,6,62.18,Delayed,11088.78,0.1666,1847.39,7,8
ORD-100060,2025-03-22,Europe,Home Decor,Ocean Freight,404.75,1,24.6,Delivered,404.75,0.1752,70.91,6,0
ORD-100061,2025-02-19,North America,Fashion,Air Priority,1117.32,8,53.19,Delivered,8938.56,0.1707,1525.81,14,0
ORD-100062,2025-12-26,Europe,Electronics,Land Transport,1017.82,2,243.82,Delivered,2035.64,0.0569,115.83,5,0
ORD-100063,2025-01-02,Europe,Home Decor,Air Priority,51.79,2,357.91,Delivered,103.58,0.1298,13.44,14,0
ORD-100064,2025-02-23,North America,Fashion,Ocean Freight,1313.4,4,451.5,Delivered,5253.6,0.0695,365.13,12,0
ORD-100065,2025-04-16,Asia-Pacific,Electronics,Ocean Freight,1377.68,8,275.74,Delayed,11021.44,0.0774,853.06,10,6
ORD-100066,2025-09-17,North America,Electronics,Ocean Freight,416.95,3,11.66,Delivered,1250.85,0.1895,237.04,13,0
ORD-100067,2025-11-06,North America,Electronics,Ocean Freight,957.53,3,418.96,Delivered,2872.59,0.1637,470.24,3,0
ORD-100068,2025-07-10,Asia-Pacific,Fashion,Land Transport,1842.15,13,248.73,Delivered,23947.95,0.1298,3108.44,14,0
ORD-100069,2025-08-06,North America,Electronics,Air Priority,1987.66,13,282.87,Cancelled,25839.58,0.0777,2007.74,7,0
ORD-100070,2025-02-13,Latin America,Healthcare,Air Priority,1788.72,14,17.69,Delivered,25042.08,0.1824,4567.68,14,0
ORD-100071,2025-06-11,Latin America,Home Decor,Ocean Freight,190.06,10,330.68,Cancelled,1900.6,0.2233,424.4,12,0
ORD-100072,2025-07-21,Latin America,Healthcare,Land Transport,1911.63,14,484.11,Delivered,26762.82,0.2143,5735.27,3,0
ORD-100073,2025-09-27,Europe,Healthcare,Air Priority,1863.5,13,382.07,In Transit,24225.5,0.1653,4004.48,12,0
ORD-100074,2025-12-17,Middle East,Home Decor,Ocean Freight,681.33,14,364.51,Delivered,9538.62,0.0853,813.64,12,0
ORD-100075,2025-10-31,North America,Healthcare,Air Priority,815.92,6,309.56,Delivered,4895.52,0.1319,645.72,10,0
ORD-100076,2025-09-28,Middle East,Electronics,Land Transport,829.72,2,77.34,Cancelled,1659.44,0.1833,304.18,10,0
ORD-100077,2025-08-03,Latin America,Automotive,Land Transport,1602.79,7,384.7,Delivered,11219.53,0.2398,2690.44,10,0
ORD-100078,2025-09-09,Asia-Pacific,Healthcare,Ocean Freight,1930.94,1,381.16,Delivered,1930.94,0.1223,236.15,11,0
ORD-100079,2025-07-09,Latin America,Home Decor,Ocean Freight,614.37,9,140.79,Delivered,5529.33,0.104,575.05,10,0
ORD-100080,2025-10-23,North America,Fashion,Air Priority,1973.88,5,323.7,Delivered,9869.4,0.0948,935.62,6,0
ORD-100081,2025-08-01,Middle East,Fashion,Ocean Freight,1980.96,8,251.25,Delivered,15847.68,0.1409,2232.94,13,0
ORD-100082,2025-07-27,Middle East,Electronics,Air Priority,1008.68,10,297.07,Delivered,10086.8,0.2215,2234.23,8,0
ORD-100083,2025-08-25,Europe,Healthcare,Air Priority,1644.93,9,418.61,Delivered,14804.37,0.2037,3015.65,12,0
ORD-100084,2025-12-04,Asia-Pacific,Automotive,Land Transport,861.03,10,300.07,Delayed,8610.3,0.1542,1327.71,3,3
ORD-100085,2025-02-22,Latin America,Fashion,Air Priority,1483.02,1,457.23,Delivered,1483.02,0.2396,355.33,4,0
